date,unit_sales,year,month,day,day_of_week,quarter,week_of_year,is_weekend,is_month_start,is_month_end,lag_1,lag_7,lag_14,lag_30,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,oil_price_interpolated,oil_lag_1,oil_rolling_7d_mean,is_national_holiday,is_regional_holiday,is_local_holiday
2013-02-01,401.0,2013,2,1,4,1,5,0,1,0,282.0,389.0,60.0,582.0,454.57142857142856,497.07142857142856,520.8333333333334,154.05935776279742,97.46,97.65,96.37857142857145,0,0,0
2013-02-02,775.0,2013,2,2,5,1,5,1,0,0,401.0,697.0,667.0,310.0,456.2857142857143,521.4285714285714,514.8,153.2728659240484,97.46,97.46,96.70857142857142,0,0,0
2013-02-03,855.0,2013,2,3,6,1,5,1,0,0,775.0,616.0,1090.0,338.0,467.42857142857144,529.1428571428571,530.3,174.98653009384927,97.46,97.46,97.03857142857143,0,0,0
2013-02-04,411.0,2013,2,4,0,1,6,0,0,0,855.0,318.0,760.0,654.0,501.57142857142856,512.3571428571429,547.5333333333333,224.9813748904984,96.21,97.46,97.36857142857143,0,0,0
2013-02-05,272.0,2013,2,5,1,1,6,0,0,0,411.0,393.0,461.0,979.0,514.8571428571429,487.42857142857144,539.4333333333333,214.85221942180658,96.68,96.21,97.40571428571427,0,0,0
2013-02-06,461.0,2013,2,6,2,1,6,0,0,0,272.0,487.0,413.0,541.0,497.57142857142856,473.92857142857144,515.8666666666667,230.58176940285696,96.44,96.68,97.27142857142857,0,0,0
2013-02-07,397.0,2013,2,7,3,1,6,0,0,0,461.0,282.0,326.0,434.0,493.85714285714283,477.35714285714283,513.2,230.98948646452024,95.84,96.44,97.05142857142857,0,0,0
2013-02-08,226.0,2013,2,8,4,1,6,0,0,0,397.0,401.0,389.0,593.0,510.2857142857143,482.42857142857144,511.96666666666664,217.0811785835843,95.71,95.84,96.79285714285713,0,0,0
2013-02-09,377.0,2013,2,9,5,1,6,1,0,0,226.0,775.0,697.0,700.0,485.2857142857143,470.7857142857143,499.73333333333335,240.5706509432063,95.71,95.71,96.54285714285716,0,0,0
2013-02-10,356.0,2013,2,10,6,1,6,1,0,0,377.0,855.0,616.0,726.0,428.42857142857144,447.92857142857144,488.96666666666664,205.10473515000143,95.71,95.71,96.29285714285713,0,0,0
